No,Age,Education,Industry,Experience ,Marital Status,Own House,Dependents,Income,Loan Affordability
31,38,No schooling,Arts & Media,20,DIVORCED,NO,3,66385.60627,NO
50,44,No schooling,Construction ,26,SINGLE,NO,2,71385.60627,NO
61,33,No schooling,Steel ,15,MARRIED,NO,0,84385.60627,NO
106,28,No schooling,Arts & Media,10,DIVORCED,NO,2,80385.60627,NO
125,41,No schooling,Construction ,23,SINGLE,YES,2,66385.60627,NO
136,41,No schooling,Steel ,23,DIVORCED,NO,0,68385.60627,NO
181,34,No schooling,Arts & Media,16,MARRIED,NO,1,58385.60627,NO
200,25,No schooling,Construction ,7,DIVORCED,YES,1,65385.60627,YES
211,31,No schooling,Steel ,13,DIVORCED,YES,1,63385.60627,NO
256,31,No schooling,Arts & Media,13,SINGLE,NO,1,67385.60627,YES
275,50,No schooling,Construction ,32,SINGLE,NO,0,59385.60627,NO
286,30,No schooling,Steel ,12,SINGLE,NO,2,68385.60627,NO
331,53,No schooling,Arts & Media,35,MARRIED,YES,0,90385.60627,NO
350,50,No schooling,Construction ,32,MARRIED,NO,0,82385.60627,NO
361,53,No schooling,Steel ,35,MARRIED,NO,2,80385.60627,NO
406,36,No schooling,Arts & Media,18,MARRIED,NO,0,76385.60627,NO
425,44,No schooling,Construction ,26,SINGLE,NO,2,72385.60627,NO
436,42,No schooling,Steel ,24,MARRIED,YES,3,86385.60627,NO
481,36,No schooling,Arts & Media,18,DIVORCED,YES,3,75385.60627,NO
500,34,No schooling,Construction ,16,MARRIED,NO,3,83385.60627,YES
511,36,No schooling,Steel ,18,MARRIED,YES,2,66385.60627,NO
556,55,No schooling,Arts & Media,37,DIVORCED,YES,3,87385.60627,NO
575,27,No schooling,Construction ,9,SINGLE,YES,1,86385.60627,NO
586,47,No schooling,Steel ,29,DIVORCED,NO,1,88385.60627,NO
631,33,No schooling,Arts & Media,15,DIVORCED,NO,3,78385.60627,NO
650,28,No schooling,Construction ,10,SINGLE,NO,3,68385.60627,YES
661,26,No schooling,Steel ,8,SINGLE,NO,3,60385.60627,NO
706,54,No schooling,Arts & Media,36,DIVORCED,YES,2,75385.60627,YES
725,45,No schooling,Construction ,27,MARRIED,YES,0,81385.60627,NO
736,55,No schooling,Steel ,37,MARRIED,YES,2,67385.60627,NO
781,46,No schooling,Arts & Media,28,SINGLE,NO,3,65385.60627,NO
800,27,No schooling,Construction ,9,DIVORCED,YES,0,78385.60627,YES
811,40,No schooling,Steel ,22,DIVORCED,NO,1,70385.60627,NO
856,46,No schooling,Arts & Media,28,DIVORCED,YES,2,56385.60627,NO
875,27,No schooling,Construction ,9,DIVORCED,NO,3,92385.60627,NO
886,34,No schooling,Steel ,16,DIVORCED,NO,3,61385.60627,YES
931,28,No schooling,Arts & Media,10,DIVORCED,YES,2,78385.60627,NO
950,45,No schooling,Construction ,27,SINGLE,NO,0,79385.60627,YES
961,53,No schooling,Steel ,35,DIVORCED,NO,3,65385.60627,NO
1006,30,No schooling,Arts & Media,12,DIVORCED,YES,0,65385.60627,YES
1025,55,No schooling,Construction ,37,MARRIED,NO,3,83385.60627,NO
1036,25,No schooling,Steel ,7,DIVORCED,YES,1,86385.60627,NO
1081,32,No schooling,Arts & Media,14,DIVORCED,NO,1,62385.60627,NO
1100,50,No schooling,Construction ,32,SINGLE,NO,0,63385.60627,YES
1111,37,No schooling,Steel ,19,DIVORCED,NO,0,62385.60627,NO
1156,52,No schooling,Arts & Media,34,MARRIED,NO,2,84385.60627,YES
1175,45,No schooling,Construction ,27,SINGLE,NO,0,83385.60627,NO
1186,29,No schooling,Steel ,11,SINGLE,NO,1,75385.60627,NO
1231,28,No schooling,Arts & Media,10,SINGLE,NO,2,88385.60627,NO
1250,43,No schooling,Construction ,25,MARRIED,YES,2,66385.60627,NO
1261,30,No schooling,Steel ,12,MARRIED,NO,3,84385.60627,YES
1306,55,No schooling,Arts & Media,37,MARRIED,YES,2,75385.60627,YES
1325,53,No schooling,Construction ,35,SINGLE,YES,2,67385.60627,NO
1336,38,No schooling,Steel ,20,SINGLE,NO,2,87385.60627,NO
1381,39,No schooling,Arts & Media,21,SINGLE,NO,1,57385.60627,YES
1400,40,No schooling,Construction ,22,DIVORCED,YES,0,66385.60627,NO
1411,47,No schooling,Steel ,29,MARRIED,YES,0,79385.60627,YES
1456,28,No schooling,Arts & Media,10,SINGLE,YES,2,53385.60627,NO
1475,55,No schooling,Construction ,37,SINGLE,YES,1,75385.60627,YES
1486,26,No schooling,Steel ,8,DIVORCED,YES,0,85385.60627,YES
1531,48,No schooling,Arts & Media,30,DIVORCED,NO,3,59385.60627,NO
1550,43,No schooling,Construction ,25,DIVORCED,NO,2,65385.60627,NO
1561,52,No schooling,Steel ,34,DIVORCED,NO,1,70385.60627,NO
1606,49,No schooling,Arts & Media,31,SINGLE,YES,1,81385.60627,NO
1625,49,No schooling,Construction ,31,MARRIED,NO,2,65385.60627,YES
1636,49,No schooling,Steel ,31,MARRIED,NO,2,84385.60627,NO
1681,44,No schooling,Arts & Media,26,SINGLE,NO,1,61385.60627,NO
1700,31,No schooling,Construction ,13,MARRIED,NO,3,82385.60627,NO
1711,28,No schooling,Steel ,10,MARRIED,YES,2,67385.60627,YES
1756,44,No schooling,Arts & Media,26,SINGLE,YES,1,79385.60627,NO
1775,30,No schooling,Construction ,12,MARRIED,NO,3,69385.60627,NO
1786,47,No schooling,Steel ,29,SINGLE,NO,1,60385.60627,NO
1831,28,No schooling,Arts & Media,10,MARRIED,YES,2,74385.60627,NO
1850,32,No schooling,Construction ,14,SINGLE,NO,1,64385.60627,NO
1861,46,No schooling,Steel ,28,MARRIED,NO,3,80385.60627,NO
1906,53,No schooling,Arts & Media,35,MARRIED,NO,0,75385.60627,NO
1925,41,No schooling,Construction ,23,SINGLE,YES,2,69385.60627,NO
1936,40,No schooling,Steel ,22,MARRIED,NO,2,63385.60627,NO
1981,39,No schooling,Arts & Media,21,MARRIED,NO,2,91385.60627,NO
2000,30,No schooling,Construction ,12,SINGLE,NO,0,63385.60627,NO
2011,47,No schooling,Steel ,29,MARRIED,NO,1,76385.60627,NO
2056,38,No schooling,Arts & Media,20,MARRIED,NO,0,72385.60627,NO
2075,43,No schooling,Construction ,25,MARRIED,YES,1,71385.60627,YES
2086,27,No schooling,Steel ,9,MARRIED,NO,3,65385.60627,YES
2131,44,No schooling,Arts & Media,26,MARRIED,NO,3,66385.60627,NO
2150,46,No schooling,Construction ,28,SINGLE,NO,2,90385.60627,NO
2161,48,No schooling,Steel ,30,MARRIED,NO,3,87385.60627,YES
2206,42,No schooling,Arts & Media,24,MARRIED,NO,0,56385.60627,YES
2225,33,No schooling,Construction ,15,SINGLE,NO,0,83385.60627,YES
2236,34,No schooling,Steel ,16,SINGLE,YES,0,65385.60627,YES
2281,48,No schooling,Arts & Media,30,MARRIED,YES,3,72385.60627,NO
2300,46,No schooling,Construction ,28,MARRIED,YES,0,89385.60627,NO
2311,29,No schooling,Steel ,11,MARRIED,YES,2,65385.60627,YES
